QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.67 	ga1: 8.10 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.27 	gb1: 4.16 	gb2: 0.29 	gb3: 0.15 	gb4: -0.17 	gb5: 0.56 	gb6: 0.38 	gb7: -0.47 	gb8: 0.44 	gb9: -0.61
			Robot 1 	f: -530.85 	mf: 166.00 	ga0: -6.68 	ga1: 2.38 	ga2: 0.29 	ga3: 0.07 	ga4: 0.34 	ga5: 0.28 	ga6: 0.66 	gb0: -6.77 	gb1: 2.47 	gb2: 0.35 	gb3: 0.11 	gb4: 0.17 	gb5: 0.23 	gb6: 0.67 	gb7: 0.02 	gb8: -0.08 	gb9: -1.27
			Robot 2 	f: -75.69 	mf: -298.40 	ga0: -6.69 	ga1: 2.46 	ga2: 0.39 	ga3: 0.13 	ga4: 0.33 	ga5: 0.26 	ga6: 0.62 	gb0: -6.74 	gb1: 2.46 	gb2: 0.41 	gb3: 0.07 	gb4: 0.29 	gb5: 0.18 	gb6: 0.54 	gb7: 0.04 	gb8: -0.01 	gb9: -1.31
			Robot 3 	f: -499.38 	mf: 112.60 	ga0: -6.75 	ga1: 2.23 	ga2: 0.29 	ga3: 0.07 	ga4: 0.33 	ga5: 0.50 	ga6: 0.64 	gb0: -6.84 	gb1: 2.33 	gb2: 0.27 	gb3: 0.12 	gb4: 0.23 	gb5: 0.44 	gb6: 0.57 	gb7: 0.05 	gb8: 0.07 	gb9: -1.38
			Robot 4 	f: 349.65 	mf: -356.60 	ga0: -6.58 	ga1: 2.32 	ga2: 0.30 	ga3: 0.15 	ga4: 0.31 	ga5: 0.28 	ga6: 0.62 	gb0: -6.59 	gb1: 2.39 	gb2: 0.26 	gb3: 0.17 	gb4: 0.24 	gb5: 0.23 	gb6: 0.68 	gb7: -0.09 	gb8: 0.06 	gb9: -1.19
			Robot 5 	f: 423.19 	mf: 234.00 	ga0: -7.79 	ga1: 2.74 	ga2: 0.29 	ga3: 0.23 	ga4: 0.36 	ga5: 0.24 	ga6: 0.61 	gb0: -7.15 	gb1: 2.81 	gb2: 0.24 	gb3: 0.22 	gb4: 0.24 	gb5: 0.15 	gb6: 0.68 	gb7: -0.05 	gb8: -0.03 	gb9: -1.19
			Robot 6 	f: -548.42 	mf: 8.00 	ga0: -7.50 	ga1: 1.91 	ga2: 0.32 	ga3: 0.23 	ga4: 0.32 	ga5: 0.28 	ga6: 0.59 	gb0: -7.23 	gb1: 2.12 	gb2: 0.32 	gb3: 0.12 	gb4: 0.20 	gb5: 0.30 	gb6: 0.55 	gb7: -0.00 	gb8: -0.08 	gb9: -1.36
			Robot 7 	f: -354.10 	mf: -351.60 	ga0: -6.76 	ga1: 2.23 	ga2: 0.41 	ga3: 0.39 	ga4: 0.34 	ga5: 0.43 	ga6: 0.64 	gb0: -6.87 	gb1: 2.39 	gb2: 0.29 	gb3: 0.34 	gb4: 0.22 	gb5: 0.32 	gb6: 0.64 	gb7: -0.07 	gb8: -0.04 	gb9: -1.37
			Robot 8 	f: 77.87 	mf: 188.20 	ga0: -7.48 	ga1: 2.07 	ga2: 0.29 	ga3: 0.08 	ga4: 0.59 	ga5: 0.37 	ga6: 0.62 	gb0: -7.28 	gb1: 2.29 	gb2: 0.29 	gb3: 0.02 	gb4: 0.35 	gb5: 0.27 	gb6: 0.59 	gb7: 0.07 	gb8: -0.00 	gb9: -1.29
			Robot 9 	f: -297.24 	mf: -333.20 	ga0: -6.58 	ga1: 2.44 	ga2: 0.31 	ga3: 0.07 	ga4: 0.41 	ga5: 0.28 	ga6: 0.62 	gb0: -6.61 	gb1: 2.60 	gb2: 0.26 	gb3: 0.09 	gb4: 0.34 	gb5: 0.26 	gb6: 0.69 	gb7: 0.06 	gb8: -0.03 	gb9: -1.35
			Robot 10 	f: -487.73 	mf: -155.40 	ga0: -6.66 	ga1: 2.44 	ga2: 0.50 	ga3: 0.08 	ga4: 0.42 	ga5: 0.27 	ga6: 0.82 	gb0: -6.63 	gb1: 2.62 	gb2: 0.45 	gb3: 0.16 	gb4: 0.31 	gb5: 0.22 	gb6: 0.78 	gb7: 0.03 	gb8: -0.01 	gb9: -1.26
			Robot 11 	f: 160.37 	mf: 283.20 	ga0: -6.58 	ga1: 2.40 	ga2: 0.29 	ga3: 0.07 	ga4: 0.41 	ga5: 0.27 	ga6: 0.63 	gb0: -6.60 	gb1: 2.67 	gb2: 0.26 	gb3: 0.10 	gb4: 0.23 	gb5: 0.17 	gb6: 0.52 	gb7: 0.05 	gb8: -0.00 	gb9: -1.26
			Robot 12 	f: 349.21 	mf: 218.80 	ga0: -7.79 	ga1: 1.12 	ga2: 0.29 	ga3: 0.10 	ga4: 0.24 	ga5: 0.25 	ga6: 0.61 	gb0: -7.23 	gb1: 1.64 	gb2: 0.25 	gb3: 0.11 	gb4: 0.20 	gb5: 0.22 	gb6: 0.64 	gb7: 0.01 	gb8: -0.03 	gb9: -1.26
			Robot 13 	f: -366.57 	mf: -436.20 	ga0: -6.69 	ga1: 2.44 	ga2: 0.46 	ga3: 0.07 	ga4: 0.45 	ga5: 0.26 	ga6: 0.65 	gb0: -6.80 	gb1: 2.53 	gb2: 0.32 	gb3: 0.09 	gb4: 0.30 	gb5: 0.17 	gb6: 0.59 	gb7: -0.02 	gb8: 0.05 	gb9: -1.26
			Robot 14 	f: 311.48 	mf: 25.80 	ga0: -6.59 	ga1: 2.47 	ga2: 0.29 	ga3: 0.07 	ga4: 0.24 	ga5: 0.29 	ga6: 0.62 	gb0: -6.67 	gb1: 2.48 	gb2: 0.28 	gb3: 0.13 	gb4: 0.28 	gb5: 0.31 	gb6: 0.55 	gb7: -0.08 	gb8: 0.09 	gb9: -1.32
		Population 38
			Robot 0 	f: 221.30 	mf: -28.20 	ga0: -7.85 	ga1: 2.49 	ga2: 0.29 	ga3: 0.15 	ga4: 0.48 	ga5: 0.30 	ga6: 0.73 	gb0: -7.46 	gb1: 2.58 	gb2: 0.19 	gb3: 0.16 	gb4: 0.35 	gb5: 0.28 	gb6: 0.60 	gb7: -0.12 	gb8: -0.08 	gb9: -1.32
			Robot 1 	f: -514.59 	mf: 5.40 	ga0: -8.62 	ga1: 2.56 	ga2: 0.29 	ga3: 0.26 	ga4: 0.35 	ga5: 0.26 	ga6: 0.64 	gb0: -7.80 	gb1: 2.64 	gb2: 0.34 	gb3: 0.28 	gb4: 0.33 	gb5: 0.20 	gb6: 0.73 	gb7: -0.04 	gb8: -0.05 	gb9: -1.24
			Robot 2 	f: -556.91 	mf: -436.60 	ga0: -7.24 	ga1: 2.60 	ga2: 0.34 	ga3: 0.18 	ga4: 0.34 	ga5: 0.25 	ga6: 0.62 	gb0: -7.01 	gb1: 2.70 	gb2: 0.30 	gb3: 0.26 	gb4: 0.21 	gb5: 0.23 	gb6: 0.64 	gb7: 0.04 	gb8: 0.04 	gb9: -1.19
			Robot 3 	f: -146.91 	mf: 42.60 	ga0: -7.27 	ga1: 1.24 	ga2: 0.29 	ga3: 0.15 	ga4: 0.59 	ga5: 0.37 	ga6: 0.63 	gb0: -7.15 	gb1: 1.83 	gb2: 0.33 	gb3: 0.22 	gb4: 0.42 	gb5: 0.43 	gb6: 0.55 	gb7: 0.08 	gb8: -0.09 	gb9: -1.28
			Robot 4 	f: 361.63 	mf: -191.00 	ga0: -6.58 	ga1: 2.32 	ga2: 0.30 	ga3: 0.15 	ga4: 0.31 	ga5: 0.28 	ga6: 0.62 	gb0: -6.59 	gb1: 2.39 	gb2: 0.26 	gb3: 0.17 	gb4: 0.24 	gb5: 0.23 	gb6: 0.68 	gb7: -0.09 	gb8: 0.06 	gb9: -1.19
			Robot 5 	f: 350.13 	mf: 346.60 	ga0: -7.79 	ga1: 2.74 	ga2: 0.29 	ga3: 0.23 	ga4: 0.36 	ga5: 0.24 	ga6: 0.61 	gb0: -7.15 	gb1: 2.81 	gb2: 0.24 	gb3: 0.22 	gb4: 0.24 	gb5: 0.15 	gb6: 0.68 	gb7: -0.05 	gb8: -0.03 	gb9: -1.19
			Robot 6 	f: -982.53 	mf: -101.40 	ga0: -7.64 	ga1: 2.32 	ga2: 0.30 	ga3: 0.23 	ga4: 0.44 	ga5: 0.49 	ga6: 0.83 	gb0: -7.43 	gb1: 2.41 	gb2: 0.20 	gb3: 0.27 	gb4: 0.42 	gb5: 0.39 	gb6: 0.67 	gb7: 0.06 	gb8: 0.01 	gb9: -1.28
			Robot 7 	f: 224.76 	mf: -210.40 	ga0: -7.27 	ga1: 2.48 	ga2: 0.52 	ga3: 0.31 	ga4: 0.35 	ga5: 0.33 	ga6: 0.82 	gb0: -7.07 	gb1: 2.54 	gb2: 0.47 	gb3: 0.36 	gb4: 0.34 	gb5: 0.33 	gb6: 0.66 	gb7: 0.02 	gb8: -0.03 	gb9: -1.38
			Robot 8 	f: 394.19 	mf: 203.40 	ga0: -7.48 	ga1: 2.07 	ga2: 0.29 	ga3: 0.08 	ga4: 0.59 	ga5: 0.37 	ga6: 0.62 	gb0: -7.28 	gb1: 2.29 	gb2: 0.29 	gb3: 0.02 	gb4: 0.35 	gb5: 0.27 	gb6: 0.59 	gb7: 0.07 	gb8: -0.00 	gb9: -1.29
			Robot 9 	f: -203.05 	mf: -275.00 	ga0: -7.19 	ga1: 2.59 	ga2: 0.30 	ga3: 0.15 	ga4: 0.38 	ga5: 0.26 	ga6: 0.62 	gb0: -7.10 	gb1: 2.62 	gb2: 0.31 	gb3: 0.22 	gb4: 0.42 	gb5: 0.13 	gb6: 0.71 	gb7: -0.02 	gb8: 0.06 	gb9: -1.27
			Robot 10 	f: -387.51 	mf: -293.80 	ga0: -7.23 	ga1: 2.59 	ga2: 0.39 	ga3: 0.15 	ga4: 0.39 	ga5: 0.25 	ga6: 0.72 	gb0: -7.07 	gb1: 2.61 	gb2: 0.39 	gb3: 0.19 	gb4: 0.24 	gb5: 0.29 	gb6: 0.71 	gb7: 0.00 	gb8: -0.00 	gb9: -1.17
			Robot 11 	f: 348.19 	mf: 286.60 	ga0: -6.58 	ga1: 2.40 	ga2: 0.29 	ga3: 0.07 	ga4: 0.41 	ga5: 0.27 	ga6: 0.63 	gb0: -6.60 	gb1: 2.67 	gb2: 0.26 	gb3: 0.10 	gb4: 0.23 	gb5: 0.17 	gb6: 0.52 	gb7: 0.05 	gb8: -0.00 	gb9: -1.26
			Robot 12 	f: -567.44 	mf: 45.00 	ga0: -7.79 	ga1: 0.47 	ga2: 0.29 	ga3: 0.17 	ga4: 0.30 	ga5: 0.24 	ga6: 0.76 	gb0: -7.40 	gb1: 1.36 	gb2: 0.29 	gb3: 0.23 	gb4: 0.19 	gb5: 0.28 	gb6: 0.73 	gb7: -0.02 	gb8: -0.09 	gb9: -1.35
			Robot 13 	f: -429.95 	mf: -428.40 	ga0: -7.24 	ga1: -0.21 	ga2: 0.38 	ga3: 0.15 	ga4: 0.40 	ga5: 0.25 	ga6: 0.66 	gb0: -7.09 	gb1: 1.26 	gb2: 0.25 	gb3: 0.10 	gb4: 0.37 	gb5: 0.11 	gb6: 0.65 	gb7: 0.00 	gb8: 0.01 	gb9: -1.26
			Robot 14 	f: 284.85 	mf: 49.60 	ga0: -8.09 	ga1: 2.60 	ga2: 0.29 	ga3: 0.15 	ga4: 0.30 	ga5: 0.26 	ga6: 0.62 	gb0: -7.46 	gb1: 2.57 	gb2: 0.33 	gb3: 0.21 	gb4: 0.22 	gb5: 0.30 	gb6: 0.53 	gb7: -0.05 	gb8: -0.04 	gb9: -1.26
		Population 39
			Robot 0 	f: 191.80 	mf: 33.00 	ga0: -7.85 	ga1: 2.49 	ga2: 0.29 	ga3: 0.15 	ga4: 0.48 	ga5: 0.30 	ga6: 0.73 	gb0: -7.46 	gb1: 2.58 	gb2: 0.19 	gb3: 0.16 	gb4: 0.35 	gb5: 0.28 	gb6: 0.60 	gb7: -0.12 	gb8: -0.08 	gb9: -1.32
			Robot 1 	f: 382.68 	mf: 12.20 	ga0: -8.62 	ga1: 2.56 	ga2: 0.29 	ga3: 0.26 	ga4: 0.35 	ga5: 0.26 	ga6: 0.64 	gb0: -7.80 	gb1: 2.64 	gb2: 0.34 	gb3: 0.28 	gb4: 0.33 	gb5: 0.20 	gb6: 0.73 	gb7: -0.04 	gb8: -0.05 	gb9: -1.24
			Robot 2 	f: -486.52 	mf: -419.80 	ga0: -7.52 	ga1: -0.17 	ga2: 0.31 	ga3: 0.21 	ga4: 0.51 	ga5: 0.24 	ga6: 0.62 	gb0: -7.33 	gb1: 1.30 	gb2: 0.24 	gb3: 0.14 	gb4: 0.39 	gb5: 0.16 	gb6: 0.72 	gb7: -0.03 	gb8: -0.04 	gb9: -1.28
			Robot 3 	f: 270.52 	mf: 18.20 	ga0: -7.27 	ga1: 1.24 	ga2: 0.29 	ga3: 0.15 	ga4: 0.59 	ga5: 0.37 	ga6: 0.63 	gb0: -7.15 	gb1: 1.83 	gb2: 0.33 	gb3: 0.22 	gb4: 0.42 	gb5: 0.43 	gb6: 0.55 	gb7: 0.08 	gb8: -0.09 	gb9: -1.28
			Robot 4 	f: 287.19 	mf: -20.80 	ga0: -6.58 	ga1: 2.32 	ga2: 0.30 	ga3: 0.15 	ga4: 0.31 	ga5: 0.28 	ga6: 0.62 	gb0: -6.59 	gb1: 2.39 	gb2: 0.26 	gb3: 0.17 	gb4: 0.24 	gb5: 0.23 	gb6: 0.68 	gb7: -0.09 	gb8: 0.06 	gb9: -1.19
			Robot 5 	f: -516.63 	mf: 178.60 	ga0: -7.79 	ga1: 2.74 	ga2: 0.29 	ga3: 0.23 	ga4: 0.36 	ga5: 0.24 	ga6: 0.61 	gb0: -7.15 	gb1: 2.81 	gb2: 0.24 	gb3: 0.22 	gb4: 0.24 	gb5: 0.15 	gb6: 0.68 	gb7: -0.05 	gb8: -0.03 	gb9: -1.19
			Robot 6 	f: -537.56 	mf: -214.60 	ga0: -7.72 	ga1: 2.53 	ga2: 0.30 	ga3: 0.40 	ga4: 0.40 	ga5: 0.58 	ga6: 0.72 	gb0: -7.50 	gb1: 2.58 	gb2: 0.24 	gb3: 0.23 	gb4: 0.34 	gb5: 0.52 	gb6: 0.70 	gb7: 0.06 	gb8: 0.04 	gb9: -1.24
			Robot 7 	f: -152.01 	mf: -125.40 	ga0: -7.53 	ga1: 2.61 	ga2: 0.40 	ga3: 0.27 	ga4: 0.35 	ga5: 0.28 	ga6: 0.72 	gb0: -7.35 	gb1: 2.66 	gb2: 0.35 	gb3: 0.27 	gb4: 0.41 	gb5: 0.35 	gb6: 0.78 	gb7: -0.03 	gb8: -0.02 	gb9: -1.28
			Robot 8 	f: -586.67 	mf: 90.60 	ga0: -7.63 	ga1: 2.20 	ga2: 0.29 	ga3: 0.15 	ga4: 0.71 	ga5: 0.30 	ga6: 0.62 	gb0: -7.43 	gb1: 2.31 	gb2: 0.23 	gb3: 0.08 	gb4: 0.52 	gb5: 0.26 	gb6: 0.54 	gb7: -0.02 	gb8: -0.09 	gb9: -1.17
			Robot 9 	f: -567.85 	mf: -276.40 	ga0: -7.49 	ga1: 2.66 	ga2: 0.51 	ga3: 0.29 	ga4: 0.37 	ga5: 0.49 	ga6: 0.86 	gb0: -7.24 	gb1: 2.65 	gb2: 0.39 	gb3: 0.31 	gb4: 0.37 	gb5: 0.22 	gb6: 0.69 	gb7: -0.11 	gb8: 0.01 	gb9: -1.26
			Robot 10 	f: -550.89 	mf: -332.60 	ga0: -7.51 	ga1: 2.66 	ga2: 0.34 	ga3: 0.19 	ga4: 0.37 	ga5: 0.24 	ga6: 0.66 	gb0: -7.33 	gb1: 2.62 	gb2: 0.27 	gb3: 0.18 	gb4: 0.27 	gb5: 0.24 	gb6: 0.63 	gb7: 0.05 	gb8: -0.09 	gb9: -1.22
			Robot 11 	f: -549.70 	mf: 115.00 	ga0: -7.19 	ga1: -0.22 	ga2: 0.29 	ga3: 0.15 	ga4: 0.38 	ga5: 0.25 	ga6: 0.62 	gb0: -7.09 	gb1: 1.34 	gb2: 0.35 	gb3: 0.07 	gb4: 0.25 	gb5: 0.15 	gb6: 0.60 	gb7: 0.04 	gb8: 0.06 	gb9: -1.20
			Robot 12 	f: 302.17 	mf: 130.80 	ga0: -7.79 	ga1: 0.47 	ga2: 0.29 	ga3: 0.17 	ga4: 0.30 	ga5: 0.24 	ga6: 0.76 	gb0: -7.40 	gb1: 1.36 	gb2: 0.29 	gb3: 0.23 	gb4: 0.19 	gb5: 0.28 	gb6: 0.73 	gb7: -0.02 	gb8: -0.09 	gb9: -1.35
			Robot 13 	f: 10.27 	mf: -372.00 	ga0: -7.52 	ga1: 2.63 	ga2: 0.33 	ga3: 0.19 	ga4: 0.45 	ga5: 0.24 	ga6: 0.87 	gb0: -7.36 	gb1: 2.32 	gb2: 0.19 	gb3: 0.10 	gb4: 0.44 	gb5: 0.16 	gb6: 0.76 	gb7: 0.06 	gb8: -0.10 	gb9: -1.25
			Robot 14 	f: -472.41 	mf: -31.60 	ga0: -7.94 	ga1: 2.67 	ga2: 0.29 	ga3: 0.19 	ga4: 0.33 	ga5: 0.47 	ga6: 0.62 	gb0: -7.54 	gb1: 2.67 	gb2: 0.22 	gb3: 0.20 	gb4: 0.26 	gb5: 0.44 	gb6: 0.59 	gb7: -0.05 	gb8: 0.07 	gb9: -1.24
		Population 40
			Robot 0 	f: 125.38 	mf: 167.20 	ga0: -7.82 	ga1: 2.61 	ga2: 0.29 	ga3: 0.19 	ga4: 0.42 	ga5: 0.27 	ga6: 0.67 	gb0: -7.56 	gb1: 2.73 	gb2: 0.25 	gb3: 0.18 	gb4: 0.44 	gb5: 0.18 	gb6: 0.68 	gb7: -0.13 	gb8: -0.12 	gb9: -1.29
			Robot 1 	f: 352.67 	mf: 9.60 	ga0: -8.62 	ga1: 2.56 	ga2: 0.29 	ga3: 0.26 	ga4: 0.35 	ga5: 0.26 	ga6: 0.64 	gb0: -7.80 	gb1: 2.64 	gb2: 0.34 	gb3: 0.28 	gb4: 0.33 	gb5: 0.20 	gb6: 0.73 	gb7: -0.04 	gb8: -0.05 	gb9: -1.24
			Robot 2 	f: 400.78 	mf: -259.40 	ga0: -7.52 	ga1: -0.17 	ga2: 0.31 	ga3: 0.21 	ga4: 0.51 	ga5: 0.24 	ga6: 0.62 	gb0: -7.33 	gb1: 1.30 	gb2: 0.24 	gb3: 0.14 	gb4: 0.39 	gb5: 0.16 	gb6: 0.72 	gb7: -0.03 	gb8: -0.04 	gb9: -1.28
			Robot 3 	f: 380.38 	mf: 60.20 	ga0: -7.27 	ga1: 1.24 	ga2: 0.29 	ga3: 0.15 	ga4: 0.59 	ga5: 0.37 	ga6: 0.63 	gb0: -7.15 	gb1: 1.83 	gb2: 0.33 	gb3: 0.22 	gb4: 0.42 	gb5: 0.43 	gb6: 0.55 	gb7: 0.08 	gb8: -0.09 	gb9: -1.28
			Robot 4 	f: 338.59 	mf: 156.40 	ga0: -6.58 	ga1: 2.32 	ga2: 0.30 	ga3: 0.15 	ga4: 0.31 	ga5: 0.28 	ga6: 0.62 	gb0: -6.59 	gb1: 2.39 	gb2: 0.26 	gb3: 0.17 	gb4: 0.24 	gb5: 0.23 	gb6: 0.68 	gb7: -0.09 	gb8: 0.06 	gb9: -1.19
			Robot 5 	f: 398.36 	mf: 187.00 	ga0: -7.79 	ga1: 2.74 	ga2: 0.29 	ga3: 0.23 	ga4: 0.36 	ga5: 0.24 	ga6: 0.61 	gb0: -7.15 	gb1: 2.81 	gb2: 0.24 	gb3: 0.22 	gb4: 0.24 	gb5: 0.15 	gb6: 0.68 	gb7: -0.05 	gb8: -0.03 	gb9: -1.19
			Robot 6 	f: -521.99 	mf: -448.40 	ga0: -7.75 	ga1: 2.63 	ga2: 0.29 	ga3: 0.31 	ga4: 0.38 	ga5: 0.41 	ga6: 0.67 	gb0: -7.55 	gb1: 2.60 	gb2: 0.34 	gb3: 0.34 	gb4: 0.43 	gb5: 0.35 	gb6: 0.77 	gb7: -0.02 	gb8: 0.02 	gb9: -1.27
			Robot 7 	f: 88.30 	mf: 5.80 	ga0: -7.66 	ga1: 2.67 	ga2: 0.34 	ga3: 0.25 	ga4: 0.36 	ga5: 0.26 	ga6: 0.72 	gb0: -7.55 	gb1: 2.68 	gb2: 0.25 	gb3: 0.34 	gb4: 0.33 	gb5: 0.22 	gb6: 0.76 	gb7: 0.04 	gb8: 0.07 	gb9: -1.18
			Robot 8 	f: 409.66 	mf: 112.00 	ga0: -7.63 	ga1: 2.20 	ga2: 0.29 	ga3: 0.15 	ga4: 0.71 	ga5: 0.30 	ga6: 0.62 	gb0: -7.43 	gb1: 2.31 	gb2: 0.23 	gb3: 0.08 	gb4: 0.52 	gb5: 0.26 	gb6: 0.54 	gb7: -0.02 	gb8: -0.09 	gb9: -1.17
			Robot 9 	f: -394.37 	mf: -286.80 	ga0: -8.32 	ga1: 2.70 	ga2: 0.40 	ga3: 0.26 	ga4: 0.61 	ga5: 0.59 	ga6: 0.74 	gb0: -7.77 	gb1: 2.65 	gb2: 0.43 	gb3: 0.33 	gb4: 0.51 	gb5: 0.35 	gb6: 0.76 	gb7: 0.03 	gb8: -0.01 	gb9: -1.16
			Robot 10 	f: -495.73 	mf: -499.00 	ga0: -7.65 	ga1: 2.70 	ga2: 0.31 	ga3: 0.21 	ga4: 0.37 	ga5: 0.24 	ga6: 0.64 	gb0: -7.54 	gb1: 2.68 	gb2: 0.23 	gb3: 0.26 	gb4: 0.41 	gb5: 0.15 	gb6: 0.57 	gb7: -0.10 	gb8: -0.07 	gb9: -1.29
			Robot 11 	f: 240.46 	mf: 104.80 	ga0: -7.19 	ga1: -0.22 	ga2: 0.29 	ga3: 0.15 	ga4: 0.38 	ga5: 0.25 	ga6: 0.62 	gb0: -7.09 	gb1: 1.34 	gb2: 0.35 	gb3: 0.07 	gb4: 0.25 	gb5: 0.15 	gb6: 0.60 	gb7: 0.04 	gb8: 0.06 	gb9: -1.20
			Robot 12 	f: 290.96 	mf: 122.40 	ga0: -7.79 	ga1: 0.47 	ga2: 0.29 	ga3: 0.17 	ga4: 0.30 	ga5: 0.24 	ga6: 0.76 	gb0: -7.40 	gb1: 1.36 	gb2: 0.29 	gb3: 0.23 	gb4: 0.19 	gb5: 0.28 	gb6: 0.73 	gb7: -0.02 	gb8: -0.09 	gb9: -1.35
			Robot 13 	f: -425.89 	mf: -343.20 	ga0: -8.33 	ga1: 2.68 	ga2: 0.31 	ga3: 0.21 	ga4: 0.64 	ga5: 0.24 	ga6: 0.74 	gb0: -7.88 	gb1: 2.52 	gb2: 0.20 	gb3: 0.20 	gb4: 0.54 	gb5: 0.17 	gb6: 0.82 	gb7: -0.07 	gb8: -0.07 	gb9: -1.31
			Robot 14 	f: -416.04 	mf: -9.40 	ga0: -7.87 	ga1: 2.70 	ga2: 0.29 	ga3: 0.45 	ga4: 0.35 	ga5: 0.35 	ga6: 0.61 	gb0: -7.56 	gb1: 2.80 	gb2: 0.34 	gb3: 0.23 	gb4: 0.25 	gb5: 0.24 	gb6: 0.63 	gb7: -0.07 	gb8: 0.00 	gb9: -1.29
		Population 41
			Robot 0 	f: 151.38 	mf: 186.00 	ga0: -7.81 	ga1: 2.68 	ga2: 0.29 	ga3: 0.42 	ga4: 0.39 	ga5: 0.30 	ga6: 0.70 	gb0: -7.57 	gb1: 2.69 	gb2: 0.34 	gb3: 0.32 	gb4: 0.30 	gb5: 0.15 	gb6: 0.70 	gb7: -0.06 	gb8: 0.05 	gb9: -1.23
			Robot 1 	f: 343.78 	mf: 6.60 	ga0: -8.62 	ga1: 2.56 	ga2: 0.29 	ga3: 0.26 	ga4: 0.35 	ga5: 0.26 	ga6: 0.64 	gb0: -7.80 	gb1: 2.64 	gb2: 0.34 	gb3: 0.28 	gb4: 0.33 	gb5: 0.20 	gb6: 0.73 	gb7: -0.04 	gb8: -0.05 	gb9: -1.24
			Robot 2 	f: 236.30 	mf: -96.20 	ga0: -7.52 	ga1: -0.17 	ga2: 0.31 	ga3: 0.21 	ga4: 0.51 	ga5: 0.24 	ga6: 0.62 	gb0: -7.33 	gb1: 1.30 	gb2: 0.24 	gb3: 0.14 	gb4: 0.39 	gb5: 0.16 	gb6: 0.72 	gb7: -0.03 	gb8: -0.04 	gb9: -1.28
			Robot 3 	f: -1160.62 	mf: -231.00 	ga0: -7.53 	ga1: 1.99 	ga2: 0.29 	ga3: 0.19 	ga4: 0.47 	ga5: 0.30 	ga6: 0.62 	gb0: -7.33 	gb1: 2.15 	gb2: 0.21 	gb3: 0.18 	gb4: 0.46 	gb5: 0.33 	gb6: 0.53 	gb7: 0.10 	gb8: -0.12 	gb9: -1.29
			Robot 4 	f: -564.29 	mf: 154.20 	ga0: -7.19 	ga1: 2.53 	ga2: 0.29 	ga3: 0.19 	ga4: 0.42 	ga5: 0.26 	ga6: 0.62 	gb0: -7.09 	gb1: 2.57 	gb2: 0.33 	gb3: 0.21 	gb4: 0.33 	gb5: 0.22 	gb6: 0.58 	gb7: -0.13 	gb8: -0.06 	gb9: -1.16
			Robot 5 	f: 383.98 	mf: 207.60 	ga0: -7.79 	ga1: 2.74 	ga2: 0.29 	ga3: 0.23 	ga4: 0.36 	ga5: 0.24 	ga6: 0.61 	gb0: -7.15 	gb1: 2.81 	gb2: 0.24 	gb3: 0.22 	gb4: 0.24 	gb5: 0.15 	gb6: 0.68 	gb7: -0.05 	gb8: -0.03 	gb9: -1.19
			Robot 6 	f: -586.04 	mf: -634.80 	ga0: -7.77 	ga1: 2.68 	ga2: 0.29 	ga3: 0.38 	ga4: 0.37 	ga5: 0.32 	ga6: 0.64 	gb0: -7.47 	gb1: 2.67 	gb2: 0.25 	gb3: 0.23 	gb4: 0.37 	gb5: 0.20 	gb6: 0.65 	gb7: -0.03 	gb8: 0.02 	gb9: -1.33
			Robot 7 	f: -562.09 	mf: -151.20 	ga0: -7.73 	ga1: 2.70 	ga2: 0.32 	ga3: 0.24 	ga4: 0.36 	ga5: 0.25 	ga6: 0.67 	gb0: -7.63 	gb1: 2.72 	gb2: 0.19 	gb3: 0.17 	gb4: 0.35 	gb5: 0.30 	gb6: 0.74 	gb7: 0.08 	gb8: -0.03 	gb9: -1.15
			Robot 8 	f: 84.91 	mf: 75.60 	ga0: -7.71 	ga1: 2.47 	ga2: 0.29 	ga3: 0.42 	ga4: 0.53 	ga5: 0.27 	ga6: 0.83 	gb0: -7.60 	gb1: 2.52 	gb2: 0.23 	gb3: 0.27 	gb4: 0.50 	gb5: 0.29 	gb6: 0.72 	gb7: 0.07 	gb8: -0.08 	gb9: -1.33
			Robot 9 	f: -542.30 	mf: -400.60 	ga0: -8.06 	ga1: 1.36 	ga2: 0.52 	ga3: 0.25 	ga4: 0.50 	ga5: 0.41 	ga6: 0.75 	gb0: -7.79 	gb1: 2.00 	gb2: 0.49 	gb3: 0.25 	gb4: 0.37 	gb5: 0.23 	gb6: 0.79 	gb7: -0.07 	gb8: -0.07 	gb9: -1.19
			Robot 10 	f: -285.79 	mf: -440.80 	ga0: -7.72 	ga1: 2.72 	ga2: 0.30 	ga3: 0.22 	ga4: 0.39 	ga5: 0.24 	ga6: 0.86 	gb0: -7.44 	gb1: 2.66 	gb2: 0.18 	gb3: 0.31 	gb4: 0.37 	gb5: 0.13 	gb6: 0.78 	gb7: -0.00 	gb8: -0.07 	gb9: -1.31
