QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.4	 nc: 0.5	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.62 	ga1: 2.55 	ga2: 0.00 	ga3: 0.08 	ga4: 0.06 	ga5: 0.00 	ga6: 0.00 	gb0: 0.59 	gb1: 0.67 	gb2: 0.26 	gb3: 0.25 	gb4: 0.33 	gb5: -0.70 	gb6: 1.02 	gb7: 1.43 	gb8: 3.95 	gb9: -1.57
			Robot 9 	f: 19.85 	mf: -94.00 	ga0: 0.73 	ga1: 2.07 	ga2: 0.23 	ga3: 0.20 	ga4: 0.22 	ga5: 0.47 	ga6: 0.75 	gb0: 0.25 	gb1: 0.36 	gb2: 0.61 	gb3: 0.31 	gb4: 0.39 	gb5: 1.25 	gb6: 2.18 	gb7: 0.66 	gb8: 1.88 	gb9: 0.58
			Robot 10 	f: 10.21 	mf: 21.80 	ga0: 0.82 	ga1: 1.71 	ga2: 0.27 	ga3: 0.24 	ga4: 0.22 	ga5: 0.37 	ga6: 0.61 	gb0: 0.31 	gb1: 0.50 	gb2: 0.25 	gb3: 0.36 	gb4: 0.50 	gb5: -0.44 	gb6: -3.01 	gb7: 1.19 	gb8: -1.47 	gb9: -2.43
			Robot 11 	f: 90.64 	mf: 41.60 	ga0: 0.51 	ga1: 2.30 	ga2: 0.40 	ga3: 0.38 	ga4: 0.26 	ga5: 0.33 	ga6: 0.58 	gb0: 0.48 	gb1: 0.41 	gb2: 0.56 	gb3: 0.40 	gb4: 0.17 	gb5: -1.04 	gb6: 1.94 	gb7: -1.11 	gb8: -1.26 	gb9: -1.87
			Robot 12 	f: 18.73 	mf: 19.60 	ga0: 0.49 	ga1: 1.21 	ga2: 0.30 	ga3: 0.22 	ga4: 0.44 	ga5: 0.28 	ga6: 0.54 	gb0: 0.35 	gb1: 0.49 	gb2: 0.26 	gb3: 0.65 	gb4: 0.32 	gb5: 2.11 	gb6: 2.13 	gb7: -1.33 	gb8: -2.62 	gb9: -2.41
			Robot 13 	f: 109.36 	mf: -56.60 	ga0: 0.55 	ga1: 1.67 	ga2: 0.29 	ga3: 0.30 	ga4: 0.20 	ga5: 0.34 	ga6: 0.78 	gb0: 0.38 	gb1: 0.44 	gb2: 0.42 	gb3: 0.70 	gb4: 0.25 	gb5: -0.28 	gb6: -2.05 	gb7: 1.28 	gb8: -1.05 	gb9: 0.95
			Robot 14 	f: 16.08 	mf: 45.40 	ga0: 0.29 	ga1: 1.94 	ga2: 0.25 	ga3: 0.27 	ga4: 0.41 	ga5: 0.30 	ga6: 0.64 	gb0: 0.33 	gb1: 0.52 	gb2: 0.17 	gb3: 0.40 	gb4: 0.20 	gb5: 3.52 	gb6: -0.22 	gb7: 2.19 	gb8: -1.00 	gb9: -1.38
		Population 15
			Robot 0 	f: 85.34 	mf: -414.60 	ga0: 0.66 	ga1: 1.44 	ga2: 0.41 	ga3: 0.20 	ga4: 0.20 	ga5: 0.39 	ga6: 0.54 	gb0: 0.37 	gb1: 0.71 	gb2: 0.21 	gb3: 0.33 	gb4: 0.62 	gb5: -1.66 	gb6: 2.62 	gb7: 1.71 	gb8: -2.66 	gb9: 0.66
			Robot 1 	f: 11.42 	mf: 26.20 	ga0: 0.29 	ga1: 1.43 	ga2: 0.47 	ga3: 0.24 	ga4: 0.20 	ga5: 0.58 	ga6: 0.53 	gb0: 0.36 	gb1: 0.38 	gb2: 0.71 	gb3: 0.70 	gb4: 0.48 	gb5: -0.03 	gb6: -0.22 	gb7: 0.65 	gb8: -1.41 	gb9: -2.31
			Robot 2 	f: 8.58 	mf: 45.60 	ga0: 0.65 	ga1: 1.41 	ga2: 0.21 	ga3: 0.24 	ga4: 0.29 	ga5: 0.47 	ga6: 0.53 	gb0: 0.47 	gb1: 0.38 	gb2: 0.35 	gb3: 0.52 	gb4: 0.44 	gb5: 0.39 	gb6: -1.41 	gb7: 1.13 	gb8: -0.76 	gb9: 1.68
			Robot 3 	f: 4.53 	mf: 31.00 	ga0: 0.66 	ga1: 1.13 	ga2: 0.33 	ga3: 0.24 	ga4: 0.19 	ga5: 0.29 	ga6: 0.60 	gb0: 0.64 	gb1: 0.46 	gb2: 0.28 	gb3: 0.63 	gb4: 0.39 	gb5: 1.75 	gb6: 0.44 	gb7: -2.40 	gb8: -1.41 	gb9: 2.10
			Robot 4 	f: 1.18 	mf: -25.40 	ga0: 0.54 	ga1: 1.28 	ga2: 0.56 	ga3: 0.34 	ga4: 0.21 	ga5: 0.52 	ga6: 0.71 	gb0: 0.29 	gb1: 0.82 	gb2: 0.58 	gb3: 0.61 	gb4: 0.36 	gb5: 3.88 	gb6: -1.16 	gb7: -0.38 	gb8: 1.08 	gb9: -1.49
			Robot 5 	f: 14.40 	mf: 42.20 	ga0: 0.42 	ga1: 1.39 	ga2: 0.24 	ga3: 0.22 	ga4: 0.19 	ga5: 0.34 	ga6: 0.52 	gb0: 0.40 	gb1: 0.74 	gb2: 0.50 	gb3: 0.36 	gb4: 0.35 	gb5: 0.07 	gb6: 2.70 	gb7: -1.02 	gb8: -1.64 	gb9: -0.39
			Robot 6 	f: 42.02 	mf: 75.80 	ga0: 0.55 	ga1: 1.47 	ga2: 0.23 	ga3: 0.25 	ga4: 0.18 	ga5: 0.34 	ga6: 0.53 	gb0: 0.42 	gb1: 0.62 	gb2: 0.35 	gb3: 0.44 	gb4: 0.24 	gb5: 3.28 	gb6: -0.87 	gb7: -0.95 	gb8: -2.22 	gb9: -1.69
			Robot 7 	f: 34.30 	mf: 23.40 	ga0: 0.81 	ga1: 1.53 	ga2: 0.27 	ga3: 0.23 	ga4: 0.38 	ga5: 0.31 	ga6: 0.55 	gb0: 0.72 	gb1: 0.63 	gb2: 0.62 	gb3: 0.70 	gb4: 0.66 	gb5: 0.78 	gb6: -0.20 	gb7: -2.65 	gb8: -2.71 	gb9: -0.17
			Robot 8 	f: 32.52 	mf: 23.20 	ga0: 0.38 	ga1: 1.95 	ga2: 0.24 	ga3: 0.25 	ga4: 0.25 	ga5: 0.35 	ga6: 0.54 	gb0: 0.45 	gb1: 0.79 	gb2: 0.59 	gb3: 0.65 	gb4: 0.53 	gb5: 1.45 	gb6: -2.65 	gb7: 1.44 	gb8: -0.48 	gb9: 2.27
			Robot 9 	f: 0.48 	mf: -106.00 	ga0: 0.64 	ga1: 1.38 	ga2: 0.23 	ga3: 0.40 	ga4: 0.20 	ga5: 0.53 	ga6: 0.72 	gb0: 0.48 	gb1: 0.51 	gb2: 0.57 	gb3: 0.22 	gb4: 0.58 	gb5: 1.24 	gb6: 0.65 	gb7: 0.64 	gb8: 1.45 	gb9: -0.63
			Robot 10 	f: 142.29 	mf: 45.40 	ga0: 0.82 	ga1: 1.71 	ga2: 0.27 	ga3: 0.24 	ga4: 0.22 	ga5: 0.37 	ga6: 0.61 	gb0: 0.31 	gb1: 0.50 	gb2: 0.25 	gb3: 0.36 	gb4: 0.50 	gb5: -0.44 	gb6: -3.01 	gb7: 1.19 	gb8: -1.47 	gb9: -2.43
			Robot 11 	f: 51.53 	mf: 44.40 	ga0: 0.51 	ga1: 2.30 	ga2: 0.40 	ga3: 0.38 	ga4: 0.26 	ga5: 0.33 	ga6: 0.58 	gb0: 0.48 	gb1: 0.41 	gb2: 0.56 	gb3: 0.40 	gb4: 0.17 	gb5: -1.04 	gb6: 1.94 	gb7: -1.11 	gb8: -1.26 	gb9: -1.87
			Robot 12 	f: 108.29 	mf: 35.60 	ga0: 0.49 	ga1: 1.21 	ga2: 0.30 	ga3: 0.22 	ga4: 0.44 	ga5: 0.28 	ga6: 0.54 	gb0: 0.35 	gb1: 0.49 	gb2: 0.26 	gb3: 0.65 	gb4: 0.32 	gb5: 2.11 	gb6: 2.13 	gb7: -1.33 	gb8: -2.62 	gb9: -2.41
			Robot 13 	f: -2769.35 	mf: -611.80 	ga0: 0.55 	ga1: 1.57 	ga2: 0.26 	ga3: 0.40 	ga4: 0.19 	ga5: 0.34 	ga6: 0.65 	gb0: 0.64 	gb1: 0.72 	gb2: 0.37 	gb3: 0.75 	gb4: 0.53 	gb5: 0.17 	gb6: 0.37 	gb7: 0.93 	gb8: -2.51 	gb9: 2.00
			Robot 14 	f: 15.42 	mf: 32.00 	ga0: 0.42 	ga1: 1.70 	ga2: 0.24 	ga3: 0.26 	ga4: 0.30 	ga5: 0.32 	ga6: 0.62 	gb0: 0.41 	gb1: 0.46 	gb2: 0.38 	gb3: 0.47 	gb4: 0.44 	gb5: 3.19 	gb6: -2.26 	gb7: 0.16 	gb8: -2.21 	gb9: -0.13
		Population 16
			Robot 0 	f: 1.16 	mf: -234.20 	ga0: 0.87 	ga1: 2.29 	ga2: 0.34 	ga3: 0.22 	ga4: 0.21 	ga5: 0.38 	ga6: 0.58 	gb0: 0.24 	gb1: 0.51 	gb2: 0.15 	gb3: 0.38 	gb4: 0.60 	gb5: -2.06 	gb6: -1.69 	gb7: 3.02 	gb8: -1.26 	gb9: 0.78
			Robot 1 	f: 108.51 	mf: 38.40 	ga0: 0.29 	ga1: 1.43 	ga2: 0.47 	ga3: 0.24 	ga4: 0.20 	ga5: 0.58 	ga6: 0.53 	gb0: 0.36 	gb1: 0.38 	gb2: 0.71 	gb3: 0.70 	gb4: 0.48 	gb5: -0.03 	gb6: -0.22 	gb7: 0.65 	gb8: -1.41 	gb9: -2.31
			Robot 2 	f: 0.00 	mf: 40.20 	ga0: 0.74 	ga1: 2.28 	ga2: 0.24 	ga3: 0.24 	ga4: 0.31 	ga5: 0.54 	ga6: 0.75 	gb0: 0.31 	gb1: 0.59 	gb2: 0.37 	gb3: 0.34 	gb4: 0.24 	gb5: -0.58 	gb6: -1.89 	gb7: 0.27 	gb8: -0.41 	gb9: -1.00
			Robot 3 	f: 85.00 	mf: 35.00 	ga0: 0.66 	ga1: 1.13 	ga2: 0.33 	ga3: 0.24 	ga4: 0.19 	ga5: 0.29 	ga6: 0.60 	gb0: 0.64 	gb1: 0.46 	gb2: 0.28 	gb3: 0.63 	gb4: 0.39 	gb5: 1.75 	gb6: 0.44 	gb7: -2.40 	gb8: -1.41 	gb9: 2.10
			Robot 4 	f: 0.00 	mf: -42.60 	ga0: 0.84 	ga1: 1.49 	ga2: 0.42 	ga3: 0.29 	ga4: 0.37 	ga5: 0.44 	ga6: 0.66 	gb0: 0.53 	gb1: 0.69 	gb2: 0.59 	gb3: 0.40 	gb4: 0.69 	gb5: -0.23 	gb6: -1.72 	gb7: 1.98 	gb8: 1.21 	gb9: 1.23
			Robot 5 	f: 34.50 	mf: 29.60 	ga0: 0.42 	ga1: 1.39 	ga2: 0.24 	ga3: 0.22 	ga4: 0.19 	ga5: 0.34 	ga6: 0.52 	gb0: 0.40 	gb1: 0.74 	gb2: 0.50 	gb3: 0.36 	gb4: 0.35 	gb5: 0.07 	gb6: 2.70 	gb7: -1.02 	gb8: -1.64 	gb9: -0.39
			Robot 6 	f: 33.78 	mf: 46.60 	ga0: 0.55 	ga1: 1.47 	ga2: 0.23 	ga3: 0.25 	ga4: 0.18 	ga5: 0.34 	ga6: 0.53 	gb0: 0.42 	gb1: 0.62 	gb2: 0.35 	gb3: 0.44 	gb4: 0.24 	gb5: 3.28 	gb6: -0.87 	gb7: -0.95 	gb8: -2.22 	gb9: -1.69
			Robot 7 	f: 78.14 	mf: 31.40 	ga0: 0.81 	ga1: 1.53 	ga2: 0.27 	ga3: 0.23 	ga4: 0.38 	ga5: 0.31 	ga6: 0.55 	gb0: 0.72 	gb1: 0.63 	gb2: 0.62 	gb3: 0.70 	gb4: 0.66 	gb5: 0.78 	gb6: -0.20 	gb7: -2.65 	gb8: -2.71 	gb9: -0.17
			Robot 8 	f: -2659.58 	mf: -510.40 	ga0: 0.30 	ga1: 1.91 	ga2: 0.26 	ga3: 0.24 	ga4: 0.23 	ga5: 0.36 	ga6: 0.72 	gb0: 0.24 	gb1: 0.70 	gb2: 0.64 	gb3: 0.68 	gb4: 0.36 	gb5: -0.82 	gb6: -2.29 	gb7: 1.20 	gb8: 0.10 	gb9: 0.08
			Robot 9 	f: 52.98 	mf: -110.00 	ga0: 0.64 	ga1: 1.38 	ga2: 0.23 	ga3: 0.40 	ga4: 0.20 	ga5: 0.53 	ga6: 0.72 	gb0: 0.48 	gb1: 0.51 	gb2: 0.57 	gb3: 0.22 	gb4: 0.58 	gb5: 1.24 	gb6: 0.65 	gb7: 0.64 	gb8: 1.45 	gb9: -0.63
			Robot 10 	f: 28.35 	mf: 48.60 	ga0: 0.82 	ga1: 1.71 	ga2: 0.27 	ga3: 0.24 	ga4: 0.22 	ga5: 0.37 	ga6: 0.61 	gb0: 0.31 	gb1: 0.50 	gb2: 0.25 	gb3: 0.36 	gb4: 0.50 	gb5: -0.44 	gb6: -3.01 	gb7: 1.19 	gb8: -1.47 	gb9: -2.43
			Robot 11 	f: 2.93 	mf: 37.40 	ga0: 0.67 	ga1: 2.01 	ga2: 0.33 	ga3: 0.31 	ga4: 0.45 	ga5: 0.35 	ga6: 0.60 	gb0: 0.69 	gb1: 0.34 	gb2: 0.40 	gb3: 0.25 	gb4: 0.53 	gb5: 1.42 	gb6: -2.51 	gb7: 2.10 	gb8: 0.58 	gb9: -2.11
			Robot 12 	f: 104.54 	mf: 46.80 	ga0: 0.49 	ga1: 1.21 	ga2: 0.30 	ga3: 0.22 	ga4: 0.44 	ga5: 0.28 	ga6: 0.54 	gb0: 0.35 	gb1: 0.49 	gb2: 0.26 	gb3: 0.65 	gb4: 0.32 	gb5: 2.11 	gb6: 2.13 	gb7: -1.33 	gb8: -2.62 	gb9: -2.41
			Robot 13 	f: 44.26 	mf: -616.20 	ga0: 0.55 	ga1: 1.57 	ga2: 0.26 	ga3: 0.40 	ga4: 0.19 	ga5: 0.34 	ga6: 0.65 	gb0: 0.64 	gb1: 0.72 	gb2: 0.37 	gb3: 0.75 	gb4: 0.53 	gb5: 0.17 	gb6: 0.37 	gb7: 0.93 	gb8: -2.51 	gb9: 2.00
			Robot 14 	f: 131.62 	mf: 36.80 	ga0: 0.42 	ga1: 1.70 	ga2: 0.24 	ga3: 0.26 	ga4: 0.30 	ga5: 0.32 	ga6: 0.62 	gb0: 0.41 	gb1: 0.46 	gb2: 0.38 	gb3: 0.47 	gb4: 0.44 	gb5: 3.19 	gb6: -2.26 	gb7: 0.16 	gb8: -2.21 	gb9: -0.13
		Population 17
			Robot 0 	f: 1.20 	mf: 27.60 	ga0: 0.68 	ga1: 1.87 	ga2: 0.32 	ga3: 0.22 	ga4: 0.37 	ga5: 0.46 	ga6: 0.61 	gb0: 0.15 	gb1: 0.33 	gb2: 0.29 	gb3: 0.32 	gb4: 0.73 	gb5: -1.58 	gb6: -1.24 	gb7: -1.47 	gb8: 0.51 	gb9: -1.54
			Robot 1 	f: -399.35 	mf: -41.40 	ga0: 0.19 	ga1: 1.32 	ga2: 0.54 	ga3: 0.23 	ga4: 0.32 	ga5: 0.43 	ga6: 0.53 	gb0: 0.37 	gb1: 0.62 	gb2: 0.48 	gb3: 0.68 	gb4: 0.52 	gb5: -1.27 	gb6: -1.03 	gb7: -2.56 	gb8: -2.40 	gb9: 0.71
			Robot 2 	f: 133.56 	mf: 43.40 	ga0: 0.31 	ga1: 1.75 	ga2: 0.27 	ga3: 0.23 	ga4: 0.37 	ga5: 0.41 	ga6: 0.64 	gb0: 0.54 	gb1: 0.35 	gb2: 0.16 	gb3: 0.49 	gb4: 0.51 	gb5: 1.65 	gb6: -0.53 	gb7: 1.95 	gb8: -2.57 	gb9: -2.06
			Robot 3 	f: 114.24 	mf: 48.80 	ga0: 0.29 	ga1: 2.59 	ga2: 0.32 	ga3: 0.30 	ga4: 0.55 	ga5: 0.29 	ga6: 0.57 	gb0: 0.34 	gb1: 0.44 	gb2: 0.45 	gb3: 0.57 	gb4: 0.53 	gb5: 3.25 	gb6: 2.25 	gb7: -0.36 	gb8: -2.98 	gb9: -0.45
			Robot 4 	f: 27.19 	mf: -44.80 	ga0: 0.66 	ga1: 1.35 	ga2: 0.56 	ga3: 0.26 	ga4: 0.53 	ga5: 0.36 	ga6: 0.60 	gb0: 0.40 	gb1: 0.77 	gb2: 0.39 	gb3: 0.70 	gb4: 0.71 	gb5: 0.37 	gb6: 1.81 	gb7: 1.94 	gb8: 0.35 	gb9: -1.10
			Robot 5 	f: 83.23 	mf: 38.00 	ga0: 0.73 	ga1: 1.30 	ga2: 0.47 	ga3: 0.22 	ga4: 0.31 	ga5: 0.32 	ga6: 0.53 	gb0: 0.48 	gb1: 0.77 	gb2: 0.34 	gb3: 0.44 	gb4: 0.34 	gb5: 0.69 	gb6: 3.06 	gb7: -3.03 	gb8: -2.97 	gb9: -1.72
			Robot 6 	f: 21.90 	mf: 44.00 	ga0: 0.52 	ga1: 2.17 	ga2: 0.27 	ga3: 0.32 	ga4: 0.40 	ga5: 0.40 	ga6: 0.53 	gb0: 0.63 	gb1: 0.65 	gb2: 0.43 	gb3: 0.67 	gb4: 0.31 	gb5: 2.81 	gb6: 1.47 	gb7: 0.25 	gb8: -0.99 	gb9: -2.33
			Robot 7 	f: 148.73 	mf: 57.00 	ga0: 0.81 	ga1: 1.53 	ga2: 0.27 	ga3: 0.23 	ga4: 0.38 	ga5: 0.31 	ga6: 0.55 	gb0: 0.72 	gb1: 0.63 	gb2: 0.62 	gb3: 0.70 	gb4: 0.66 	gb5: 0.78 	gb6: -0.20 	gb7: -2.65 	gb8: -2.71 	gb9: -0.17
			Robot 8 	f: -813.82 	mf: -683.00 	ga0: 0.39 	ga1: 1.56 	ga2: 0.34 	ga3: 0.23 	ga4: 0.34 	ga5: 0.51 	ga6: 0.79 	gb0: 0.59 	gb1: 0.75 	gb2: 0.56 	gb3: 0.71 	gb4: 0.43 	gb5: 0.74 	gb6: 0.99 	gb7: 0.82 	gb8: 1.84 	gb9: 1.04
			Robot 9 	f: 11.54 	mf: -107.80 	ga0: 0.56 	ga1: 1.15 	ga2: 0.33 	ga3: 0.31 	ga4: 0.32 	ga5: 0.41 	ga6: 0.65 	gb0: 0.63 	gb1: 0.64 	gb2: 0.44 	gb3: 0.50 	gb4: 0.68 	gb5: 2.96 	gb6: 1.99 	gb7: -0.27 	gb8: 1.54 	gb9: 1.15
			Robot 10 	f: 142.20 	mf: 69.80 	ga0: 0.82 	ga1: 1.71 	ga2: 0.27 	ga3: 0.24 	ga4: 0.22 	ga5: 0.37 	ga6: 0.61 	gb0: 0.31 	gb1: 0.50 	gb2: 0.25 	gb3: 0.36 	gb4: 0.50 	gb5: -0.44 	gb6: -3.01 	gb7: 1.19 	gb8: -1.47 	gb9: -2.43
			Robot 11 	f: -624.13 	mf: -91.20 	ga0: 0.58 	ga1: 1.61 	ga2: 0.32 	ga3: 0.42 	ga4: 0.53 	ga5: 0.55 	ga6: 0.63 	gb0: 0.29 	gb1: 0.70 	gb2: 0.23 	gb3: 0.60 	gb4: 0.53 	gb5: 0.64 	gb6: 2.08 	gb7: -0.01 	gb8: -2.25 	gb9: -0.66
			Robot 12 	f: 136.96 	mf: 77.60 	ga0: 0.49 	ga1: 1.21 	ga2: 0.30 	ga3: 0.22 	ga4: 0.44 	ga5: 0.28 	ga6: 0.54 	gb0: 0.35 	gb1: 0.49 	gb2: 0.26 	gb3: 0.65 	gb4: 0.32 	gb5: 2.11 	gb6: 2.13 	gb7: -1.33 	gb8: -2.62 	gb9: -2.41
			Robot 13 	f: 72.53 	mf: -604.40 	ga0: 0.52 	ga1: 1.70 	ga2: 0.28 	ga3: 0.31 	ga4: 0.32 	ga5: 0.33 	ga6: 0.83 	gb0: 0.34 	gb1: 0.51 	gb2: 0.25 	gb3: 0.35 	gb4: 0.33 	gb5: 1.04 	gb6: 2.22 	gb7: 1.21 	gb8: 0.43 	gb9: 0.82
			Robot 14 	f: 11.08 	mf: 36.40 	ga0: 0.45 	ga1: 2.23 	ga2: 0.27 	ga3: 0.47 	ga4: 0.37 	ga5: 0.34 	ga6: 0.58 	gb0: 0.50 	gb1: 0.28 	gb2: 0.32 	gb3: 0.55 	gb4: 0.51 	gb5: 2.35 	gb6: -2.42 	gb7: -1.14 	gb8: -0.14 	gb9: 0.91
		Population 18
			Robot 0 	f: 62.57 	mf: 23.40 	ga0: 0.79 	ga1: 1.54 	ga2: 0.42 	ga3: 0.22 	ga4: 0.56 	ga5: 0.37 	ga6: 0.57 	gb0: 0.45 	gb1: 0.57 	gb2: 0.21 	gb3: 0.31 	gb4: 0.58 	gb5: -0.17 	gb6: 1.22 	gb7: 1.18 	gb8: 0.67 	gb9: -1.21
			Robot 1 	f: -613.33 	mf: -168.20 	ga0: 0.67 	ga1: 1.13 	ga2: 0.42 	ga3: 0.22 	ga4: 0.38 	ga5: 0.36 	ga6: 0.53 	gb0: 0.39 	gb1: 0.44 	gb2: 0.32 	gb3: 0.52 	gb4: 0.63 	gb5: 0.89 	gb6: 1.08 	gb7: 0.67 	gb8: -1.45 	gb9: -0.21
			Robot 2 	f: -434.58 	mf: -58.80 	ga0: 0.40 	ga1: 2.74 	ga2: 0.29 	ga3: 0.35 	ga4: 0.50 	ga5: 0.56 	ga6: 0.59 	gb0: 0.39 	gb1: 0.35 	gb2: 0.28 	gb3: 0.75 	gb4: 0.28 	gb5: 1.58 	gb6: 0.47 	gb7: -1.60 	gb8: -0.71 	gb9: -0.98
			Robot 3 	f: 26.31 	mf: 50.20 	ga0: 0.39 	ga1: 1.45 	ga2: 0.31 	ga3: 0.48 	ga4: 0.49 	ga5: 0.28 	ga6: 0.55 	gb0: 0.36 	gb1: 0.45 	gb2: 0.28 	gb3: 0.56 	gb4: 0.45 	gb5: 1.33 	gb6: 3.46 	gb7: 0.89 	gb8: -0.56 	gb9: 1.54
			Robot 4 	f: 12.89 	mf: -46.20 	ga0: 0.57 	ga1: 2.64 	ga2: 0.43 	ga3: 0.38 	ga4: 0.70 	ga5: 0.32 	ga6: 0.63 	gb0: 0.30 	gb1: 0.56 	gb2: 0.48 	gb3: 0.49 	gb4: 0.68 	gb5: -0.11 	gb6: -1.39 	gb7: -0.95 	gb8: -0.46 	gb9: 0.04
			Robot 5 	f: -1.08 	mf: 28.00 	ga0: 0.61 	ga1: 2.63 	ga2: 0.46 	ga3: 0.22 	ga4: 0.38 	ga5: 0.30 	ga6: 0.77 	gb0: 0.40 	gb1: 0.81 	gb2: 0.32 	gb3: 0.66 	gb4: 0.49 	gb5: 0.77 	gb6: 2.70 	gb7: -2.31 	gb8: -0.85 	gb9: -2.85
			Robot 6 	f: 25.37 	mf: 48.40 	ga0: 0.25 	ga1: 1.69 	ga2: 0.36 	ga3: 0.46 	ga4: 0.42 	ga5: 0.39 	ga6: 0.67 	gb0: 0.64 	gb1: 0.69 	gb2: 0.17 	gb3: 0.81 	gb4: 0.59 	gb5: 1.97 	gb6: -0.46 	gb7: 0.28 	gb8: -2.41 	gb9: -2.59
			Robot 7 	f: 191.54 	mf: 93.00 	ga0: 0.81 	ga1: 1.53 	ga2: 0.27 	ga3: 0.23 	ga4: 0.38 	ga5: 0.31 	ga6: 0.55 	gb0: 0.72 	gb1: 0.63 	gb2: 0.62 	gb3: 0.70 	gb4: 0.66 	gb5: 0.78 	gb6: -0.20 	gb7: -2.65 	gb8: -2.71 	gb9: -0.17
			Robot 8 	f: 57.94 	mf: -673.20 	ga0: 0.72 	ga1: 1.39 	ga2: 0.32 	ga3: 0.23 	ga4: 0.55 	ga5: 0.40 	ga6: 0.66 	gb0: 0.24 	gb1: 0.52 	gb2: 0.23 	gb3: 0.52 	gb4: 0.47 	gb5: 2.12 	gb6: 0.40 	gb7: -2.37 	gb8: 0.74 	gb9: 1.59
			Robot 9 	f: 1.18 	mf: 16.60 	ga0: 0.26 	ga1: 1.59 	ga2: 0.32 	ga3: 0.27 	ga4: 0.38 	ga5: 0.57 	ga6: 0.59 	gb0: 0.57 	gb1: 0.61 	gb2: 0.28 	gb3: 0.78 	gb4: 0.57 	gb5: -1.01 	gb6: 3.02 	gb7: 0.82 	gb8: -0.64 	gb9: -0.28
			Robot 10 	f: 133.05 	mf: 91.00 	ga0: 0.82 	ga1: 1.71 	ga2: 0.27 	ga3: 0.24 	ga4: 0.22 	ga5: 0.37 	ga6: 0.61 	gb0: 0.31 	gb1: 0.50 	gb2: 0.25 	gb3: 0.36 	gb4: 0.50 	gb5: -0.44 	gb6: -3.01 	gb7: 1.19 	gb8: -1.47 	gb9: -2.43
			Robot 11 	f: 210.02 	mf: -54.20 	ga0: 0.58 	ga1: 1.61 	ga2: 0.32 	ga3: 0.42 	ga4: 0.53 	ga5: 0.55 	ga6: 0.63 	gb0: 0.29 	gb1: 0.70 	gb2: 0.23 	gb3: 0.60 	gb4: 0.53 	gb5: 0.64 	gb6: 2.08 	gb7: -0.01 	gb8: -2.25 	gb9: -0.66
			Robot 12 	f: 120.98 	mf: 97.20 	ga0: 0.49 	ga1: 1.21 	ga2: 0.30 	ga3: 0.22 	ga4: 0.44 	ga5: 0.28 	ga6: 0.54 	gb0: 0.35 	gb1: 0.49 	gb2: 0.26 	gb3: 0.65 	gb4: 0.32 	gb5: 2.11 	gb6: 2.13 	gb7: -1.33 	gb8: -2.62 	gb9: -2.41
			Robot 13 	f: 7.77 	mf: -507.40 	ga0: 0.25 	ga1: 1.45 	ga2: 0.29 	ga3: 0.32 	ga4: 0.38 	ga5: 0.31 	ga6: 0.68 	gb0: 0.63 	gb1: 0.41 	gb2: 0.59 	gb3: 0.54 	gb4: 0.41 	gb5: -1.44 	gb6: 1.47 	gb7: 1.56 	gb8: 1.23 	gb9: -2.18
			Robot 14 	f: 56.59 	mf: 45.80 	ga0: 0.47 	ga1: 0.86 	ga2: 0.47 	ga3: 0.58 	ga4: 0.45 	ga5: 0.31 	ga6: 0.64 	gb0: 0.49 	gb1: 0.64 	gb2: 0.49 	gb3: 0.69 	gb4: 0.50 	gb5: -0.23 	gb6: 0.84 	gb7: -1.60 	gb8: 1.54 	gb9: -2.00
		Population 19
			Robot 0 	f: 71.78 	mf: 44.00 	ga0: 0.82 	ga1: 0.69 	ga2: 0.36 	ga3: 0.22 	ga4: 0.59 	ga5: 0.52 	ga6: 0.55 	gb0: 0.25 	gb1: 0.43 	gb2: 0.31 	gb3: 0.31 	gb4: 0.39 	gb5: -1.10 	gb6: 1.58 	gb7: 0.39 	gb8: 0.27 	gb9: -0.40
			Robot 1 	f: 21.63 	mf: -174.40 	ga0: 0.58 	ga1: 1.17 	ga2: 0.36 	ga3: 0.34 	ga4: 0.56 	ga5: 0.37 	ga6: 0.53 	gb0: 0.25 	gb1: 0.64 	gb2: 0.54 	gb3: 0.54 	gb4: 0.35 	gb5: 2.37 	gb6: 1.86 	gb7: 1.81 	gb8: -1.04 	gb9: 0.35
			Robot 2 	f: 183.31 	mf: -22.00 	ga0: 0.40 	ga1: 2.74 	ga2: 0.29 	ga3: 0.35 	ga4: 0.50 	ga5: 0.56 	ga6: 0.59 	gb0: 0.39 	gb1: 0.35 	gb2: 0.28 	gb3: 0.75 	gb4: 0.28 	gb5: 1.58 	gb6: 0.47 	gb7: -1.60 	gb8: -0.71 	gb9: -0.98
			Robot 3 	f: 174.23 	mf: 80.60 	ga0: 0.39 	ga1: 1.45 	ga2: 0.31 	ga3: 0.48 	ga4: 0.49 	ga5: 0.28 	ga6: 0.55 	gb0: 0.36 	gb1: 0.45 	gb2: 0.28 	gb3: 0.56 	gb4: 0.45 	gb5: 1.33 	gb6: 3.46 	gb7: 0.89 	gb8: -0.56 	gb9: 1.54
